size,grade,span_type,joist_spacing,max_span,max_cantilever
170x35,F5,continuous,300,3100,900
170x45,F5,continuous,300,3500,1000
190x35,F5,continuous,300,3400,1000
190x45,F5,continuous,300,3900,1100
240x35,F5,continuous,300,4300,1200
240x45,F5,continuous,300,4900,1400
290x45,F5,continuous,300,5800,1700
70x35,F5,continuous,450,0,0
70x45,F5,continuous,450,0,0
90x35,F5,continuous,450,1100,300
90x45,F5,continuous,450,1400,400
120x35,F5,continuous,450,1800,500
120x45,F5,continuous,450,2000,600
140x35,F5,continuous,450,2100,600
140x45,F5,continuous,450,2400,700
170x35,F5,continuous,450,2500,700
170x45,F5,continuous,450,2800,800
190x35,F5,continuous,450,2800,800
190x45,F5,continuous,450,3200,900
240x35,F5,continuous,450,3500,1000
240x45,F5,continuous,450,4000,1200
290x45,F5,continuous,450,4800,1400
70x35,F5,continuous,600,0,0
70x45,F5,continuous,600,0,0
90x35,F5,continuous,600,1100,300
90x45,F5,continuous,600,1300,300
120x35,F5,continuous,600,1500,400
120x45,F5,continuous,600,1800,500
140x35,F5,continuous,600,1800,500
140x45,F5,continuous,600,2000,600
170x35,F5,continuous,600,2200,600
170x45,F5,continuous,600,2500,700
190x35,F5,continuous,600,2400,700
190x45,F5,continuous,600,2800,800
240x35,F5,continuous,600,3100,900
240x45,F5,continuous,600,3500,1000
290x45,F5,continuous,600,4200,1200
