size,grade,span_type,roof_load_width,floor_load_width,max_span,max_cantilever,,,,,,Single,,Span
2/120x35,MGP10,continuous,0,6000,1000,300,,,,,,,,
2/120x45,MGP10,continuous,0,6000,1100,300,,,,,,,,
2/140x35,MGP10,continuous,0,6000,1200,350,,,,,,,,
2/140x45,MGP10,continuous,0,6000,1300,300,,,,,,,,
2/170x35,MGP10,continuous,0,6000,1400,400,,,,,,,,
2/170x45,MGP10,continuous,0,6000,1600,400,,,,,,,,
2/190x35,MGP10,continuous,0,6000,1500,400,,,,,,,,
2/190x45,MGP10,continuous,0,6000,1800,500,,,,,,,,
2/240x35,MGP10,continuous,0,6000,1900,500,,,,,,,,
2/240x45,MGP10,continuous,0,6000,2100,600,,,,,,,,
2/290x35,MGP10,continuous,0,6000,2200,600,,,,,,,,
2/290x45,MGP10,continuous,0,6000,2500,700,,,,,,,,
2/90x35,F5,single,0,1200,1400,400,,,,,,,,
2/90x45,F5,single,0,1200,1600,400,,,,,,,,
2/120x35,F5,single,0,1200,2000,600,,,,,,,,
2/120x45,F5,single,0,1200,2100,600,,,,,,,,
2/140x35,F5,single,0,1200,2300,600,,,,,,,,
2/140x45,F5,single,0,1200,2500,750,,,,,,,,
2/170x35,F5,single,0,1200,2800,800,,,,,,,,
2/170x45,F5,single,0,1200,3000,900,,,,,,,,
2/190x35,F5,single,0,1200,3100,900,,,,,,,,
2/190x45,F5,single,0,1200,3300,900,,,,,,,,
2/240x35,F5,single,0,1200,3800,1100,,,,,,,,
2/240x45,F5,single,0,1200,4000,1200,,,,,,,,
2/290x35,F5,single,0,1200,4400,1300,,,,,,,,
2/290x45,F5,single,0,1200,4600,1300,,,,,,,,
2/90x35,F5,single,0,1800,1200,300,,,,,,,,
2/90x45,F5,single,0,1800,1400,400,,,,,,,,
2/120x35,F5,single,0,1800,1700,500,,,,,,,,
2/120x45,F5,single,0,1800,1800,500,,,,,,,,
2/140x35,F5,single,0,1800,2000,600,,,,,,,,
2/140x45,F5,single,0,1800,2200,650,,,,,,,,
2/170x35,F5,single,0,1800,2400,700,,,,,,,,
2/170x45,F5,single,0,1800,2600,700,,,,,,,,
2/190x35,F5,single,0,1800,2700,800,,,,,,,,
2/190x45,F5,single,0,1800,2900,800,,,,,,,,
2/240x35,F5,single,0,1800,3400,1000,,,,,,,,
2/240x45,F5,single,0,1800,3600,1000,,,,,,,,
2/290x35,F5,single,0,1800,4000,1200,,,,,,,,
2/290x45,F5,single,0,1800,4200,1200,,,,,,,,
2/90x35,F5,single,0,2400,1100,300,,,,,,,,
2/90x45,F5,single,0,2400,1200,350,,,,,,,,
2/120x35,F5,single,0,2400,1500,450,,,,,,,,
2/120x45,F5,single,0,2400,1700,500,,,,,,,,
2/140x35,F5,single,0,2400,1800,500,,,,,,,,
2/140x45,F5,single,0,2400,1900,500,,,,,,,,
2/170x35,F5,single,0,2400,2200,650,,,,,,,,
2/170x45,F5,single,0,2400,2400,700,,,,,,,,
