,element_group_id,part_id,cutting_pattern_id,part_offset,total_part_length
C122^E5,E5,"['P2', 'P2', 'P2', 'P2']",C122^E5,"[0, 950, 1900, 2850]",3800.0
C123^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P5']",C123^E5,"[0, 500, 1000, 1500, 2000]",3800.0
C124^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P6']",C124^E5,"[0, 500, 1000, 1500, 2000]",3850.0
C125^E5,E5,"['P0', 'P0', 'P0', 'P1', 'P3']",C125^E5,"[0, 500, 1000, 1500, 2400]",3750.0
C126^E5,E5,"['P0', 'P0', 'P0', 'P1', 'P4']",C126^E5,"[0, 500, 1000, 1500, 2400]",3800.0
C127^E5,E5,"['P0', 'P0', 'P0', 'P2', 'P3']",C127^E5,"[0, 500, 1000, 1500, 2450]",3800.0
C128^E5,E5,"['P0', 'P0', 'P0', 'P2', 'P4']",C128^E5,"[0, 500, 1000, 1500, 2450]",3850.0
C129^E5,E5,"['P0', 'P0', 'P1', 'P1', 'P1']",C129^E5,"[0, 500, 1000, 1900, 2800]",3700.0
C130^E5,E5,"['P0', 'P0', 'P1', 'P1', 'P2']",C130^E5,"[0, 500, 1000, 1900, 2800]",3750.0
C131^E5,E5,"['P0', 'P0', 'P1', 'P2', 'P2']",C131^E5,"[0, 500, 1000, 1900, 2850]",3800.0
C132^E5,E5,"['P0', 'P0', 'P2', 'P2', 'P2']",C132^E5,"[0, 500, 1000, 1950, 2900]",3850.0
C133^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P0', 'P2']",C133^E5,"[0, 500, 1000, 1500, 2000, 2500]",3450.0
C134^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P0', 'P3']",C134^E5,"[0, 500, 1000, 1500, 2000, 2500]",3850.0
C135^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P0', 'P4']",C135^E5,"[0, 500, 1000, 1500, 2000, 2500]",3900.0
C136^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P1', 'P1']",C136^E5,"[0, 500, 1000, 1500, 2000, 2900]",3800.0
C137^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P1', 'P2']",C137^E5,"[0, 500, 1000, 1500, 2000, 2900]",3850.0
C138^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P2', 'P2']",C138^E5,"[0, 500, 1000, 1500, 2000, 2950]",3900.0
C139^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P0', 'P0', 'P0']",C139^E5,"[0, 500, 1000, 1500, 2000, 2500, 3000]",3500.0
C140^E5,E5,"['P0', 'P0', 'P0', 'P0', 'P0', 'P0', 'P1']",C140^E5,"[0, 500, 1000, 1500, 2000, 2500, 3000]",3900.0
C0^E6,E6,"['P22', 'P22', 'P22', 'P24']",C0^E6,"[0, 200, 400, 600]",2400.0
C1^E6,E6,"['P22', 'P22', 'P22', 'P22', 'P23']",C1^E6,"[0, 200, 400, 600, 800]",2400.0
C2^E6,E6,"['P22', 'P22', 'P22', 'P22', 'P22', 'P22', 'P22', 'P22', 'P22', 'P22', 'P22', 'P22']",C2^E6,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200]",2400.0
C0^E7,E7,['P21'],C0^E7,[0],2300.0
